           Func;            Sigmoid;  HyperbolicTangens;          Sinusoida;       Cosinusoidal;        Function001
           Test;               3/26;               1/26;               0/26;               5/26;               0/26
       level2_1;              10/26;               7/26;              10/26;              10/26;               7/26
       level2_2;              10/26;              12/26;              16/26;              13/26;              18/26
       level3_1;               7/26;               4/26;               8/26;               5/26;               3/26
       level3_2;               7/26;               6/26;               8/26;               6/26;               9/26
       level4_1;               5/26;               2/26;               2/26;               8/26;               4/26
       level4_2;               4/26;               5/26;               5/26;               7/26;               4/26
       level5_1;               3/26;               1/26;               0/26;               3/26;               0/26
       level5_2;               4/26;               1/26;               0/26;               4/26;               0/26
       level5_3;               3/26;               1/26;               0/26;               3/26;               2/26
       level5_4;               3/26;               1/26;               0/26;               3/26;               0/26
 Iteration;              Sigmoid;    HyperbolicTangens;            Sinusoida;         Cosinusoidal;          Function001
         1;   0,0443540231943331;   0,0443494387271044;   0,0443545413632971;     0,04433036296597;   0,0443405893016826
         2;   0,0443539844523298;   0,0443500429982254;   0,0443545399599607;   0,0456222126842178;   0,0443374081100568
         3;   0,0443539399416244;   0,0443504393562657;    0,044354537642064;   0,0486854564328044;     0,04432973653966
         4;    0,044353888034407;   0,0443507029548421;   0,0443545339918925;   0,0413111279705582;    0,044280309482988
         5;   0,0443538266379687;   0,0443508706585172;    0,044354528581088;   0,0477140996991453;    0,040752958914798
         6;   0,0443537527645608;   0,0443509593177786;   0,0443545207834346;   0,0493561431301235;   0,0438395574444401
         7;   0,0443536619851372;   0,0443509717490364;   0,0443545096484916;     0,05455696182688;   0,0487979981747185
         8;   0,0443535474204958;   0,0443508954942395;   0,0443544936651064;   0,0560854909624976;   0,0528013146913913
         9;   0,0443533977308407;   0,0443506910386178;    0,044354470284416;   0,0491552851039724;   0,0520547372685434
        10;   0,0443531926936496;   0,0443502460647321;   0,0443544348602345;   0,0564596582351543;   0,0545430579202543
        11;   0,0443528920798197;    0,044349129575762;   0,0443543779690657;   0,0456895639822493;    0,053699907770041
        12;   0,0443524016350624;   0,0438519115285638;   0,0443542772492964;   0,0545848716059329;   0,0506995436654798
        13;    0,044351429837508;   0,0450349000513888;   0,0443540640484597;   0,0555497274497666;   0,0496520136258062
        14;    0,044348289875591;   0,0499011561080612;   0,0443533804166997;   0,0564890334687824;   0,0483697737693325
        15;   0,0459584926528449;   0,0475401311119823;   0,0442153250708176;    0,045817611184046;   0,0474569392962353
        16;   0,0415911018007106;   0,0500684276689551;   0,0496652921678051;   0,0571897482580731;    0,047200163405843
        17;    0,041841239924451;   0,0512899654051443;   0,0523472904702124;   0,0444362031608055;   0,0477724380065284
        18;   0,0429071348902478;   0,0519482562348681;   0,0529061996805863;   0,0421591287831265;   0,0474965551143976
        19;   0,0397539270291845;   0,0497225282327132;   0,0520806246031221;   0,0559362716377658;   0,0481167164739052
        20;   0,0500288612496054;   0,0553466076394225;   0,0460635207890299;   0,0504049845496749;   0,0478889561561635
        21;   0,0430130178728632;   0,0455836723223443;   0,0483440519278122;   0,0495827878039763;   0,0479549075090288
        22;   0,0524885869582353;   0,0462595102523229;   0,0507651745145433;   0,0501061360376167;   0,0479274854730362
        23;   0,0553323325961463;   0,0463240282103019;   0,0559971612304671;   0,0494756638537599;   0,0449180304448997
        24;    0,056117594102932;   0,0461437278683627;   0,0479381860385758;   0,0485007833828447;   0,0477998869765067
        25;   0,0473383152414937;   0,0462346207728736;    0,050691273859341;   0,0496952508665266;   0,0479554038121486
        26;   0,0477514095408507;   0,0462358266554883;   0,0516992275439911;   0,0454507328130265;   0,0479281303111539
        27;   0,0473565339418327;   0,0462511828141014;   0,0526188615780879;   0,0493544674981932;   0,0494593092005538
        28;   0,0475808682006967;   0,0459648693469603;   0,0528655024264254;   0,0446652566656098;   0,0512098093427063
        29;   0,0472489734365749;   0,0459492265637384;   0,0529954068374567;   0,0482070751175845;   0,0528402056942827
        30;   0,0478860975077186;   0,0457645116456423;   0,0531226294542563;   0,0454556640366444;   0,0513626888376315
        31;   0,0477926926822385;   0,0459710618649311;   0,0531607546411431;   0,0512377855145137;   0,0537632482801556
        32;   0,0478349660821217;   0,0462721610831051;   0,0531587983139393;   0,0454845601173094;   0,0493257115064138
        33;   0,0476677945896532;   0,0462752347056061;   0,0531819107743058;   0,0513137772344719;   0,0500988598346144
        34;   0,0446923768305282;   0,0462892591556358;   0,0531873329673677;   0,0447360248124089;   0,0520457079061586
        35;   0,0476182013256596;   0,0462945382448771;   0,0523502674165947;   0,0449064878071475;   0,0427574185955521
        36;   0,0478541979650073;   0,0462872465625077;   0,0530307399140996;    0,044866394109508;   0,0453656173111465
        37;   0,0479161928451148;   0,0467975671458519;    0,059999967164365;   0,0478117514164356;   0,0498911159177283
        38;   0,0479202363869228;    0,046812089513296;   0,0531287285947559;   0,0479099625731763;   0,0486152760853448
        39;    0,047923118591431;   0,0468155578757781;   0,0534515547375527;   0,0471247495973485;   0,0497082757783109
        40;    0,047925977244595;   0,0468189748129737;   0,0530619777248892;   0,0471293907797525;   0,0486248262755503
        41;   0,0479287496704076;   0,0468214141079898;    0,056047542026913;   0,0471228473604017;   0,0489333595411515
        42;   0,0479313886088028;    0,049889033321864;   0,0534123023769401;   0,0471382462530563;    0,047984465849682
        43;    0,047933869307602;   0,0481167428347471;    0,052500466564915;   0,0471465768864492;   0,0426811132750362
        44;   0,0479361779734404;   0,0508834899348537;   0,0568113942500166;   0,0471119299135173;   0,0477942859711599
        45;   0,0479383062706771;   0,0544615596475406;   0,0614127446816105;   0,0471299783564249;   0,0461895913952064
        46;   0,0479402639254561;   0,0522643128662631;   0,0465172883958179;   0,0471140537540586;   0,0487384381336406
        47;   0,0479420200770774;   0,0543290114382276;   0,0512958040331771;   0,0471201016874329;    0,046816335602599
        48;     0,04794281585113;   0,0537226596435732;   0,0401059931933936;   0,0471185463013093;    0,047044688901009
        49;     0,04793843750746;   0,0535417308330928;   0,0398461153879783;   0,0471022123423472;   0,0472166090078708
        50;   0,0425677285918821;   0,0531546053433472;   0,0556190354370587;   0,0468456980010301;   0,0476297075068145
        51;   0,0499662731947333;   0,0552351599160007;    0,038430474860065;   0,0471605669181088;   0,0483072354098219
        52;   0,0524772235004504;   0,0538431803441481;   0,0483633990830226;   0,0471896264650251;    0,049719613474601
        53;   0,0572225142294171;   0,0522018296833055;   0,0458275545528349;   0,0472403331832089;   0,0490923641213559
        54;    0,050405684735272;   0,0453805626884488;   0,0405602566254898;   0,0430897833689991;   0,0455835535603299
        55;   0,0576634147318648;   0,0423302870448664;    0,043830709969751;   0,0444328347525752;   0,0463906502266103
        56;    0,045352907059798;   0,0412084002185076;   0,0416050156910626;   0,0483893451345637;   0,0502312261806322
        57;   0,0445791582629933;   0,0384305157549929;   0,0440476925536247;   0,0504677166356976;   0,0495892978110711
        58;   0,0559588870955397;   0,0414055148477169;   0,0438440441671971;   0,0492962561082593;   0,0498468981980345
        59;    0,053175192374337;   0,0374728449015809;   0,0471542535487749;   0,0497248796344976;   0,0492752457395699
        60;   0,0570227554671599;   0,0432784426467292;   0,0460784380610112;    0,049486239511873;   0,0493718000013493
        61;   0,0579332475969919;   0,0391118279936688;   0,0457153104066491;   0,0499713233585087;   0,0502691155730767
        62;   0,0566494545286948;   0,0414804744166205;   0,0469990072268747;   0,0523688898421086;   0,0490143408779582
        63;   0,0562333423401539;   0,0368689497377871;   0,0445801717394478;   0,0524536286696896;   0,0464595073040372
        64;   0,0565186525732652;   0,0401369056065619;   0,0420060787993937;   0,0511187322638612;   0,0496151447329982
        65;   0,0566677321514906;   0,0420212604397313;   0,0421544649577262;   0,0509858389335872;   0,0428176644224147
        66;   0,0576253743088524;   0,0350653984231442;   0,0410897170151311;   0,0487299783294066;   0,0403120763870324
        67;    0,051732699039859;   0,0382172189253922;   0,0411270452250515;   0,0507133612342643;   0,0399957024570812
        68;   0,0457594450439015;   0,0409160724751562;     0,04301748949816;   0,0518099684867401;   0,0423955800790242
        69;   0,0450725130266217;   0,0413912182899399;   0,0386235026262971;   0,0512193992169106;   0,0428256599076097
        70;   0,0577398103594609;   0,0388222969121764;   0,0423845672286806;   0,0514311298353009;   0,0409315092349728
        71;   0,0515367359870975;   0,0416227143314715;   0,0397498067345979;   0,0514354113542948;   0,0438336574214331
        72;   0,0423463948797353;   0,0413109712442357;   0,0406925522763359;    0,053541623200452;   0,0384070031003308
        73;   0,0573818903434009;   0,0401879904469902;   0,0416542906237288;   0,0533618400299912;   0,0418203819588881
        74;   0,0542413655370064;   0,0402368160877821;   0,0427199652428187;   0,0525204635284716;   0,0416205002094245
        75;   0,0427392443913501;   0,0405799841860434;   0,0403320086798413;   0,0470493887356699;   0,0407414232296096
        76;   0,0469378498572945;   0,0405744641980922;   0,0384239387971987;   0,0482529937350565;   0,0408946120034783
        77;   0,0492440607761861;   0,0421632276196395;   0,0425882608265601;   0,0495402088047396;   0,0419440283519782
