           Func;            Sigmoid;  HyperbolicTangens;          Sinusoida;       Cosinusoidal;        Function001
           Test;               1/26;               0/26;               0/26;               0/26;               0/26
       level3_1;               3/26;               3/26;               3/26;               4/26;               2/26
       level3_2;               2/26;               2/26;               1/26;               5/26;               6/26
       level4_1;               1/26;               1/26;               2/26;               0/26;               1/26
       level4_2;               3/26;               3/26;               1/26;               2/26;               2/26
       level5_1;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_2;               1/26;               0/26;               1/26;               0/26;               2/26
       level5_3;               1/26;               3/26;               1/26;               1/26;               0/26
       level5_4;               0/26;               0/26;               0/26;               0/26;               0/26
 Iteration;              Sigmoid;    HyperbolicTangens;            Sinusoida;         Cosinusoidal;          Function001
         1;     0,04084758288824;   0,0409392334223872;   0,0412756941430541;   0,0403544700455659;   0,0411213390235252
         2;   0,0439675513488818;    0,041473620883028;   0,0409216584703163;   0,0402593951251776;   0,0426585406556153
         3;   0,0392009376982058;   0,0428884407272847;   0,0436281011798816;   0,0412287677428535;   0,0448343286639001
         4;   0,0426271680686002;   0,0416059277288816;   0,0436818008000674;    0,038665087143092;   0,0435091314024565
         5;   0,0425766572885128;   0,0332447245275315;   0,0388841757145716;   0,0344978057125704;     0,03976894074124
         6;   0,0415268597850043;   0,0298629511384216;   0,0297043188155079;   0,0301833715290481;    0,035466656679349
         7;   0,0407007905944343;   0,0227753730400646;   0,0240620092802235;   0,0244439341217178;    0,028390169774707
         8;   0,0383321442422715;   0,0169506229013818;   0,0193311972319377;   0,0174841677866287;   0,0201656593889418
         9;   0,0362672059032859;   0,0193282545441235;   0,0124058488602874;  0,00796559059811265;    0,018820275170012
        10;   0,0344965846321665;   0,0193940065451619;   0,0147276856426845;                    0;   0,0142488790881141
        11;   0,0352465429739968;    0,010788156978686;   0,0114748918669294;                    0;   0,0124209662242038
        12;   0,0321589343385883;   0,0105422328590408;   0,0153588804357406;                    0;   0,0104338563036211
        13;   0,0325038328777133;  0,00570997781093911;  0,00390207750746078;                    0;  0,00832822704264727
        14;    0,026258934057546;                    0;                    0;                    0;                    0
        15;   0,0234010607740352;                    0;                    0;                    0;                    0
        16;   0,0181898573238133;                    0;                    0;                    0;                    0
        17;    0,018569756577866;                    0;                    0;                    0;                    0
        18;   0,0175393536565149;                    0;                    0;                    0;                    0
        19;   0,0163429965386912;                    0;                    0;                    0;                    0
        20;   0,0211487708650652;                    0;                    0;                    0;                    0
        21;   0,0154594985519084;                    0;                    0;                    0;                    0
        22;   0,0139101821182314;                    0;                    0;                    0;                    0
        23;    0,016936568789076;                    0;                    0;                    0;                    0
        24;   0,0124524296259677;                    0;                    0;                    0;                    0
        25;  0,00912767811921362;                    0;                    0;                    0;                    0
