Beta; Sigmoid; HyperbolicTangens; Sinusoida; Cosinusoidal; Function001
0,00999999977648258; 126; 142; 1001; 1001; 172
0,0599999986588955; 20; 18; 21; 18; 20
0,109999999403954; 17; 17; 13; 15; 12
0,159999996423721; 14; 13; 9; 10; 9
0,209999993443489; 11; 7; 7; 7; 9
0,259999990463257; 5; 5; 4; 5; 5
0,310000002384186; 4; 4; 4; 4; 3
0,360000014305115; 4; 3; 4; 3; 4
0,409999996423721; 4; 4; 4; 4; 4
0,46000000834465; 5; 6; 10; 6; 5
0,509999990463257; 11; 8; 7; 6; 9
0,560000002384186; 12; 12; 17; 17; 21
0,610000014305115; 20; 97; 41; 18; 125
0,660000026226044; 33; 123; 69; 60; 152
0,709999978542328; 486; 100; 58; 160; 240
0,759999990463257; 95; 126; 248; 1001; 354
0,810000002384186; 1001; 1001; 1001; 618; 1001
0,860000014305115; 1001; 1001; 1001; 1001; 1001
